time,time,input,output,speed1,speed2,diff_output
1970-01-01 00:00:00.000,0,32767,0,0.0,0.0,0.6
1970-01-01 00:00:00.005,5,32767,3,0.87,2.83,1.4
1970-01-01 00:00:00.010,10,32767,10,2.04,6.6,2.0
1970-01-01 00:00:00.015,15,32767,20,2.91,9.42,2.2
1970-01-01 00:00:00.020,20,32767,31,3.49,11.31,2.8
1970-01-01 00:00:00.025,25,32767,45,3.78,12.25,3.0
1970-01-01 00:00:00.030,30,32767,60,4.36,13.19,3.2
1970-01-01 00:00:00.035,35,32767,76,4.65,14.14,3.2
1970-01-01 00:00:00.040,40,32767,92,4.65,16.02,3.6
1970-01-01 00:00:00.045,45,32767,110,5.24,16.96,3.6
1970-01-01 00:00:00.050,50,32767,128,5.24,16.02,3.6
1970-01-01 00:00:00.055,55,32767,146,5.24,16.96,3.6
1970-01-01 00:00:00.060,60,32767,164,5.24,16.02,3.8
1970-01-01 00:00:00.065,65,32767,183,5.53,16.96,3.4
1970-01-01 00:00:00.070,70,32767,200,4.95,16.02,3.6
1970-01-01 00:00:00.075,75,32767,218,5.24,16.02,3.6
1970-01-01 00:00:00.080,80,32767,236,5.53,16.96,3.8
1970-01-01 00:00:00.085,85,32767,255,5.24,16.96,3.8
1970-01-01 00:00:00.090,90,32767,274,5.53,17.91,3.8
1970-01-01 00:00:00.095,95,32767,293,5.53,17.91,3.8
1970-01-01 00:00:00.100,100,32767,312,5.53,16.96,3.8
1970-01-01 00:00:00.105,105,32767,331,5.53,16.96,3.8
1970-01-01 00:00:00.110,110,32767,350,5.82,17.91,3.8
1970-01-01 00:00:00.115,115,32767,369,5.24,16.96,3.8
1970-01-01 00:00:00.120,120,32767,388,5.53,16.96,3.8
1970-01-01 00:00:00.125,125,32767,407,5.53,16.96,3.6
1970-01-01 00:00:00.130,130,32767,425,5.24,16.96,3.6
1970-01-01 00:00:00.135,135,32767,443,5.24,16.02,3.4
1970-01-01 00:00:00.140,140,32767,460,4.95,15.08,3.6
1970-01-01 00:00:00.145,145,32767,478,5.24,16.02,3.4
1970-01-01 00:00:00.150,150,32767,495,4.95,16.02,3.6
1970-01-01 00:00:00.155,155,32767,513,5.24,16.96,3.8
1970-01-01 00:00:00.160,160,32767,532,5.53,16.02,3.4
1970-01-01 00:00:00.165,165,32767,549,5.24,16.96,3.8
1970-01-01 00:00:00.170,170,32767,568,5.24,16.96,3.4
1970-01-01 00:00:00.175,175,32767,585,5.24,16.96,3.6
1970-01-01 00:00:00.180,180,32767,603,4.95,16.02,3.4
1970-01-01 00:00:00.185,185,32767,620,4.95,15.08,3.4
1970-01-01 00:00:00.190,190,32767,637,4.95,15.08,3.6
1970-01-01 00:00:00.195,195,32767,655,5.24,16.02,3.6
1970-01-01 00:00:00.200,200,32767,673,5.24,15.08,3.2
1970-01-01 00:00:00.205,205,32767,689,4.65,15.08,3.2
1970-01-01 00:00:00.210,210,32767,705,4.65,15.08,3.4
1970-01-01 00:00:00.215,215,32767,722,4.95,16.02,3.6
1970-01-01 00:00:00.220,220,32767,740,5.24,16.02,3.2
1970-01-01 00:00:00.225,225,32767,756,4.65,15.08,3.0
1970-01-01 00:00:00.230,230,32767,771,4.65,14.14,3.2
1970-01-01 00:00:00.235,235,32767,787,4.36,14.14,3.0
1970-01-01 00:00:00.240,240,32767,802,4.36,13.19,3.0
1970-01-01 00:00:00.245,245,32767,817,4.65,14.14,3.4
1970-01-01 00:00:00.250,250,32767,834,4.65,16.02,3.6
1970-01-01 00:00:00.255,255,32767,852,5.24,16.02,3.2
1970-01-01 00:00:00.260,260,32767,868,4.65,15.08,3.4
1970-01-01 00:00:00.265,265,32767,885,4.95,15.08,3.4
1970-01-01 00:00:00.270,270,32767,902,4.95,15.08,3.4
1970-01-01 00:00:00.275,275,32767,919,4.95,15.08,3.2
1970-01-01 00:00:00.280,280,32767,935,4.65,15.08,3.4
1970-01-01 00:00:00.285,285,32767,952,4.95,16.02,3.4
1970-01-01 00:00:00.290,290,32767,969,4.95,16.02,3.4
1970-01-01 00:00:00.295,295,32767,986,4.95,15.08,3.2
1970-01-01 00:00:00.300,300,32767,1002,4.65,15.08,3.4
1970-01-01 00:00:00.305,305,32767,1019,4.95,14.14,3.2
1970-01-01 00:00:00.310,310,32767,1035,4.65,15.08,3.2
1970-01-01 00:00:00.315,315,32767,1051,4.95,15.08,3.2
1970-01-01 00:00:00.320,320,32767,1067,4.65,15.08,3.2
1970-01-01 00:00:00.325,325,32767,1083,4.36,14.14,3.0
1970-01-01 00:00:00.330,330,32767,1098,4.65,14.14,3.4
1970-01-01 00:00:00.335,335,32767,1115,4.65,14.14,3.0
1970-01-01 00:00:00.340,340,32767,1130,4.36,14.14,3.2
1970-01-01 00:00:00.345,345,32767,1146,4.65,14.14,3.0
1970-01-01 00:00:00.350,350,32767,1161,4.36,13.19,3.0
1970-01-01 00:00:00.355,355,32767,1176,4.36,14.14,3.2
1970-01-01 00:00:00.360,360,32767,1192,4.65,14.14,2.8
1970-01-01 00:00:00.365,365,32767,1206,4.07,14.14,2.8
1970-01-01 00:00:00.370,370,32767,1220,4.36,13.19,3.2
1970-01-01 00:00:00.375,375,32767,1236,4.36,14.14,2.8
1970-01-01 00:00:00.380,380,32767,1250,4.07,13.19,2.8
1970-01-01 00:00:00.385,385,32767,1264,4.07,12.25,2.6
1970-01-01 00:00:00.390,390,32767,1277,3.78,12.25,2.8
1970-01-01 00:00:00.395,395,32767,1291,4.07,13.19,2.8
1970-01-01 00:00:00.400,400,32767,1305,4.07,12.25,2.8
1970-01-01 00:00:00.405,405,32767,1319,4.07,13.19,3.0
1970-01-01 00:00:00.410,410,32767,1334,4.36,13.19,3.0
1970-01-01 00:00:00.415,415,32767,1349,4.36,14.14,3.0
1970-01-01 00:00:00.420,420,32767,1364,4.36,13.19,3.0
1970-01-01 00:00:00.425,425,32767,1379,4.36,13.19,2.8
1970-01-01 00:00:00.430,430,32767,1393,4.36,14.14,3.0
1970-01-01 00:00:00.435,435,32767,1408,4.07,14.14,3.2
1970-01-01 00:00:00.440,440,32767,1424,4.65,15.08,3.0
1970-01-01 00:00:00.445,445,32767,1439,4.36,14.14,3.0
1970-01-01 00:00:00.450,450,32767,1454,4.36,14.14,3.2
1970-01-01 00:00:00.455,455,32767,1470,4.65,14.14,3.0
1970-01-01 00:00:00.460,460,32767,1485,4.36,13.19,3.0
1970-01-01 00:00:00.465,465,32767,1500,4.36,14.14,3.0
1970-01-01 00:00:00.470,470,32767,1515,4.36,14.14,3.0
1970-01-01 00:00:00.475,475,32767,1530,4.36,14.14,3.0
