time,time,input,counts,output,speed2,diff_output
1970-01-01 00:00:00.000,0,32767,0,-0.0,0.0,0.93
1970-01-01 00:00:00.005,5,32767,-2,4.65,-4.65,0.0
1970-01-01 00:00:00.010,10,32767,-4,4.65,-4.65,0.466
1970-01-01 00:00:00.015,15,32767,-7,6.98,-6.98,0.466
1970-01-01 00:00:00.020,20,32767,-11,9.31,-9.31,0.466
1970-01-01 00:00:00.025,25,32767,-16,11.64,-11.64,0.4640000000000001
1970-01-01 00:00:00.030,30,32767,-22,13.96,-11.64,0.0
1970-01-01 00:00:00.035,35,32767,-28,13.96,-13.96,0.0
1970-01-01 00:00:00.040,40,32767,-34,13.96,-16.29,0.932
1970-01-01 00:00:00.045,45,32767,-42,18.62,-16.29,0.4640000000000001
1970-01-01 00:00:00.050,50,32767,-51,20.94,-18.62,0.0
1970-01-01 00:00:00.055,55,32767,-60,20.94,-18.62,0.46599999999999964
1970-01-01 00:00:00.060,60,32767,-70,23.27,-23.27,0.0
1970-01-01 00:00:00.065,65,32767,-80,23.27,-23.27,0.0
1970-01-01 00:00:00.070,70,32767,-90,23.27,-23.27,0.46600000000000036
1970-01-01 00:00:00.075,75,32767,-101,25.6,-25.6,0.0
1970-01-01 00:00:00.080,80,32767,-112,25.6,-23.27,0.0
1970-01-01 00:00:00.085,85,32767,-123,25.6,-25.6,0.0
1970-01-01 00:00:00.090,90,32767,-134,25.6,-27.93,0.46599999999999964
1970-01-01 00:00:00.095,95,32767,-146,27.93,-27.93,0.4640000000000001
1970-01-01 00:00:00.100,100,32767,-159,30.25,-27.93,0.0
1970-01-01 00:00:00.105,105,32767,-172,30.25,-27.93,0.0
1970-01-01 00:00:00.110,110,32767,-184,30.25,-27.93,0.0
1970-01-01 00:00:00.115,115,32767,-198,30.25,-27.93,-0.4640000000000001
1970-01-01 00:00:00.120,120,32767,-210,27.93,-30.25,1.3959999999999995
1970-01-01 00:00:00.125,125,32767,-225,34.91,-30.25,-0.46599999999999964
1970-01-01 00:00:00.130,130,32767,-238,32.58,-30.25,-0.46599999999999964
1970-01-01 00:00:00.135,135,32767,-251,30.25,-32.58,0.0
1970-01-01 00:00:00.140,140,32767,-265,30.25,-30.25,0.9319999999999993
1970-01-01 00:00:00.145,145,32767,-280,34.91,-32.58,-0.46599999999999964
1970-01-01 00:00:00.150,150,32767,-294,32.58,-30.25,0.0
1970-01-01 00:00:00.155,155,32767,-308,32.58,-30.25,0.46599999999999964
1970-01-01 00:00:00.160,160,32767,-323,34.91,-32.58,-0.9319999999999993
1970-01-01 00:00:00.165,165,32767,-336,30.25,-30.25,0.46599999999999964
1970-01-01 00:00:00.170,170,32767,-350,32.58,-32.58,0.46599999999999964
1970-01-01 00:00:00.175,175,32767,-365,34.91,-32.58,0.0
1970-01-01 00:00:00.180,180,32767,-380,34.91,-32.58,-0.9319999999999993
1970-01-01 00:00:00.185,185,32767,-393,30.25,-30.25,0.46599999999999964
1970-01-01 00:00:00.190,190,32767,-407,32.58,-30.25,0.46599999999999964
1970-01-01 00:00:00.195,195,32767,-422,34.91,-34.91,0.0
1970-01-01 00:00:00.200,200,32767,-436,34.91,-32.58,-0.46599999999999964
1970-01-01 00:00:00.205,205,32767,-451,32.58,-32.58,0.46599999999999964
1970-01-01 00:00:00.210,210,32767,-465,34.91,-32.58,0.0
1970-01-01 00:00:00.215,215,32767,-481,34.91,-32.58,-0.46599999999999964
1970-01-01 00:00:00.220,220,32767,-495,32.58,-32.58,0.46599999999999964
1970-01-01 00:00:00.225,225,32767,-510,34.91,-34.91,-0.46599999999999964
1970-01-01 00:00:00.230,230,32767,-524,32.58,-30.25,0.0
1970-01-01 00:00:00.235,235,32767,-538,32.58,-34.91,0.9299999999999997
1970-01-01 00:00:00.240,240,32767,-553,37.23,-32.58,-0.9299999999999997
1970-01-01 00:00:00.245,245,32767,-568,32.58,-32.58,0.46599999999999964
